Iteration,Patch,Date,Note,Source
Collision Point,9.4.0,3-Dec-24,Operation Release,
Twin Shells,9.3.0,10-Sep-24,Operation Release,
New Blood,9.2.0,11-Jun-24,Operation Release,
Deadly Omen,9.1.0,12-Mar-24,Operation Release,
Deep Freeze,8.4.0,6-Dec-23,Operation Release,
Heavy Mettle,8.3.0,29-Aug-23,Operation Release,
Dread Factor,8.2.0,30-May-23,Operation Release,
Commanding Force,8.1.0,7-Mar-23,Operation Release,
Solar Raid,7.4.0,6-Dec-22,Operation Release,
Brutal Swarm,7.3.0,6-Sep-22,Operation Release,[3][4]
Vector Glare,7.2.2,21-Jul-22,,[5]
Vector Glare,7.2.1,27-Jun-22,,[6]
Vector Glare,7.2.0,14-Jun-22,Operation Release,[7][8][9]
Demon Veil,7.1.3,10-May-22,,[10]
Demon Veil,7.1.2,19-Apr-22,,[11]
Demon Veil,7.1.1,31-Mar-22,,[12]
Demon Veil,7.1.0,15-Mar-22,Operation Release,[13][14][15]
High Calibre,6.4.2,25-Jan-22,,[16]
High Calibre,6.4.1,14-Dec-21,,[17]
High Calibre,6.4.0,30-Nov-21,Operation Release,[18][19]
Crystal Guard,6.3.3,19-Oct-21,,[20][21]
Crystal Guard,6.3.2,5-Oct-21,,[22]
Crystal Guard,6.3.1,21-Sep-21,,[23]
Crystal Guard,6.3.0,7-Sep-21,Operation Release,[24]
North Star,6.2.2,26-Jul-21,,[25]
North Star,6.2.1,29-Jun-21,,[26]
North Star,6.2.0,14-Jun-21,Operation Release,[27]
Crimson Heist,6.1.3,3-May-21,,[28]
Crimson Heist,6.1.2,13-Apr-21,,[29]
Crimson Heist,6.1.1,25-Mar-21,,[30]
Crimson Heist,6.1.0,16-Mar-21,Operation Release,[31][32][33]
Neon Dawn,5.4.3,28-Jan-21,,[34]
Neon Dawn,5.4.2,19-Jan-21,,[35]
Neon Dawn,5.4.1,15-Dec-20,,[36]
Neon Dawn,5.4.0,1-Dec-20,Operation Release,[37][38][39]
Shadow Legacy,5.3.3.1,17-Nov-20,,[40]
Shadow Legacy,5.3.3,20-Oct-20,,[41][42]
Shadow Legacy,5.3.2,6-Oct-20,,[43][44]
Shadow Legacy,5.3.1,22-Sep-20,,[45]
Shadow Legacy,5.3.0,10-Sep-20,Operation Release,[46][47]
Steel Wave,5.2.3,29-Jul-20,,[48][49]
Steel Wave,5.2.2,14-Jul-20,,[50]
Steel Wave,5.2.1,30-Jun-20,,[51][52]
Steel Wave,5.2.0,16-Jun-20,Operation Release,[53][54]
Void Edge,5.1.2,21-Apr-20,,[55]
Void Edge,5.1.1,24-Mar-20,,[56][57]
Void Edge,5.1.0,10-Mar-20,Operation Release,[58][59]
Shifting Tides,4.4.3,28-Jan-20,,[60]
Shifting Tides,4.4.2,13-Jan-20,,[61][62]
Shifting Tides,4.4.1,11-Dec-19,,[63]
Shifting Tides,4.4.0,3-Dec-19,Operation Release,[64][65]
Ember Rise,4.3.3,22-Oct-19,,[66][67]
Ember Rise,4.3.2,8-Oct-19,,[68][69]
Ember Rise,4.3.1,19-Sep-19,,[70][71]
Ember Rise,4.3.0,11-Sep-19,Operation Release,[72][73]
Phantom Sight,4.2.3,22-Jul-19,,[74]
Phantom Sight,4.2.2,9-Jul-19,,[75]
Phantom Sight,4.2.1,21-Jun-19,,[76]
Phantom Sight,4.2.0,11-Jun-19,Operation Release,[77][78]
Burnt Horizon,4.1.3,16-Apr-19,,[79]
Burnt Horizon,4.1.2,4-Apr-19,,[80]
Burnt Horizon,4.1.1,19-Mar-19,,[81]
Burnt Horizon,4.1.0,6-Mar-19,Operation Release,[82][83]
Wind Bastion,3.4.2,5-Feb-19,,[84]
Wind Bastion,3.4.1,17-Dec-18,,[85]
Wind Bastion,3.4.0,4-Dec-18,Operation Release,[86]
Grim Sky,3.3.2,29-Oct-18,,[87]
Grim Sky,3.3.1.2,18-Oct-18,,[88][89]
